feature_type,algorithm,params,auc_mean,auc_std,auc_scores
combined,random_forest,"{'n_estimators': 600, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1}",0.8511156550949153,0.014611309313780463,"[0.8657269644086958, 0.8365043457811349]"
combined,random_forest,"{'n_estimators': 400, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2}",0.8491473840189898,0.017537907767332495,"[0.8666852917863223, 0.8316094762516573]"
combined,xgboost,"{'n_estimators': 900, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.8487158254810032,0.01295042970046173,"[0.861666255181465, 0.8357653957805415]"
combined,xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.8484570999331427,0.009595665463983882,"[0.8580527653971266, 0.8388614344691588]"
combined,xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.8482988018106445,0.013893721286669658,"[0.8621925230973142, 0.8344050805239749]"
combined,xgboost,"{'n_estimators': 600, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.9, 'colsample_bytree': 0.9}",0.8471935269659658,0.013242604033596617,"[0.8604361309995625, 0.8339509229323693]"
combined,xgboost,"{'n_estimators': 700, 'learning_rate': 0.07, 'max_depth': 6, 'subsample': 0.85, 'colsample_bytree': 0.85}",0.845170125552555,0.010889102327949762,"[0.8560592278805047, 0.8342810232246052]"
combined,xgboost,"{'n_estimators': 500, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9, 'colsample_bytree': 0.9}",0.8440211003631035,0.01338628298084188,"[0.8574073833439454, 0.8306348173822616]"
combined,random_forest,"{'n_estimators': 400, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1}",0.8425508915162352,0.012506694754885805,"[0.855057586271121, 0.8300441967613494]"
fingerprints,xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.8378661427352343,0.010365120610963341,"[0.8482312633461976, 0.8275010221242709]"
